Latitude,Longitude,pH,AnnualReplenishableResources,NaturalDischarge,NetGroundwaterAvailability,IrrigationDraft,DomesticAndIndustryDraft,TotalDraft,StageOfGroundwaterDevelopment
30.408,76.788,8.18,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.408,76.846,8.66,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.375,76.782,8.5,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.105,76.641,8.35,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.32,76.729,8.71,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.263,76.612,8.67,11677.57,1167.76,10509.81,8295.23,1948.848,10244.07,97.472
30.2486,76.7167,8.6,8013.89,801.39,7212.5,4425.45,1911.168,6336.61,87.856
30.283,77.046,8.37,6559.35,655.94,5903.41,6791.12,1369.512,8160.64,138.236
30.296,77.117,8.54,6559.35,655.94,5903.41,6791.12,1369.512,8160.64,138.236
30.242,77.125,8.79,6559.35,655.94,5903.41,6791.12,1369.512,8160.64,138.236
30.471,77.125,8.34,8269.9,826.99,7442.91,8309.71,3391.4,11701.11,157.211
30.386,77.164,8.48,8269.9,826.99,7442.91,8309.71,3391.4,11701.11,157.211
30.317,76.983,8.65,7142.57,714.25,6428.32,6932.3,4664.34,11596.64,180.399
30.283,77.033,8.78,7142.57,714.25,6428.32,6932.3,4664.34,11596.64,180.399
28.5528,75.9556,8.82,6645.26,664.52,5980.74,13882.7,721.792,14604.51,244.192
28.5783,76.1058,8.73,6645.26,664.52,5980.74,13882.7,721.792,14604.51,244.192
28.6333,75.9389,8.15,6645.26,664.52,5980.74,13882.7,721.792,14604.51,244.192
28.9375,76.1681,8.17,6645.26,664.52,5980.74,13882.7,721.792,14604.51,244.192
28.9361,76.0417,8.26,5588.03,558.8,5029.23,3598,148,3746,74.485
28.8066,76.2453,7.95,10225.88,511.29,9714.59,8399,344,8743,89.999
28.8569,76.0667,8.36,10225.88,511.29,9714.59,8399,344,8743,89.999
28.7569,76.2542,8.11,10225.88,511.29,9714.59,8399,344,8743,89.999
28.7028,76.2167,8.05,10225.88,511.29,9714.59,8399,344,8743,89.999
28.7333,76.1667,8.61,10225.88,511.29,9714.59,8399,344,8743,89.999
28.8422,76.15,8.24,10225.88,511.29,9714.59,8399,344,8743,89.999
28.699,75.9884,8.23,10225.88,511.29,9714.59,8399,344,8743,89.999
28.7806,76.3667,7.81,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.7083,76.3111,8.56,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.555,76.3261,8.32,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.6083,76.4528,8.14,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.6291,76.3603,8.21,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.5958,76.2667,7.63,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.4583,76.2583,8.55,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.64,76.0942,7.84,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.4636,76.1422,7.84,4307.03,430.7,3876.33,2444,71.1,2515.1,64.884
28.7,76.0458,7.77,2419.18,241.92,2177.26,3904.5,176,4080.5,187.414
28.7667,75.7083,8.36,2419.18,241.92,2177.26,3904.5,176,4080.5,187.414
28.5333,75.8,8.22,5049.2,504.92,4544.28,5922.5,608,6530.5,143.708
28.8958,75.6042,8.22,6451.49,645.14,5806.35,2595.2,208,2803.2,48.278
28.9194,75.5158,7.91,6451.49,645.14,5806.35,2595.2,208,2803.2,48.278
28.7667,75.5292,8.96,6451.49,645.14,5806.35,2595.2,208,2803.2,48.278
28.8483,75.6222,8.61,6451.49,645.14,5806.35,2595.2,208,2803.2,48.278
28.8486,75.7417,8.34,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.8267,75.8769,8.21,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.8722,75.9583,8.02,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.9611,75.9214,8.24,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.875,75.9167,7.99,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.7972,75.8083,8.68,8621.36,862.14,7759.22,10540.5,1032,11572.5,149.145
28.2755,77.2879,8.2,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.303,77.238,8.84,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.3209,77.4501,8.61,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.394,77.439,8.47,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.347,77.39,8.82,2855.47,285.55,2569.92,2740.5,367.929,3108.42,120.954
28.347,77.335,8.54,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.33925,77.3165979,8.36,4018.36,200.91,3817.45,4672.5,1155.5,5828,152.667
28.418,77.314,8.38,9399.24,939.92,8459.32,5254.8,4531.79,9786.59,115.69
28.381,77.244,8.12,9399.24,939.92,8459.32,5254.8,4531.79,9786.59,115.69
28.4262,77.3826,7.93,9399.24,939.92,8459.32,5254.8,4531.79,9786.59,115.69
29.4133,75.3278,8.05,4087.55,408.76,3678.79,3950,178.84,4128.84,112.234
29.3042,75.4167,8.37,4087.55,408.76,3678.79,3950,178.84,4128.84,112.234
29.5042,75.6458,8.36,7126.27,712.63,6413.64,6150.2,64,6214.2,96.89
29.4756,75.6111,8.31,7126.27,712.63,6413.64,6150.2,64,6214.2,96.89
29.4375,75.7417,8.52,7126.27,712.63,6413.64,6150.2,64,6214.2,96.89
29.4458,75.55,8.47,7006.29,700.63,6305.66,11375.32,297.34,11672.66,185.114
29.3986,75.43,8.11,7006.29,700.63,6305.66,11375.32,297.34,11672.66,185.114
29.6078,75.5417,8.51,11122.32,1112.23,10010.09,21147.5,424.88,21572.39,215.506
29.6875,75.5778,8.54,11122.32,1112.23,10010.09,21147.5,424.88,21572.39,215.506
29.6139,75.8875,8.7,17594.45,1759.44,15835.01,20767.5,301.96,21069.47,133.056
29.6194,75.9375,8.54,17594.45,1759.44,15835.01,20767.5,301.96,21069.47,133.056
29.788,75.806,8.59,17594.45,1759.44,15835.01,20767.5,301.96,21069.47,133.056
29.7042,75.8958,8.75,17594.45,1759.44,15835.01,20767.5,301.96,21069.47,133.056
28.385,76.676,8.58,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.475,76.917,8.85,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.425,76.858,8.5,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.371,76.836,8.86,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.4522,76.7298,8,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.445,76.786,8.86,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.408,76.75,8.69,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.472,76.842,8.27,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.463,76.728,7.76,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.4235,76.9139,8.81,4210.38,421.04,3789.34,5390.18,630.72,6020.9,158.89
28.483,77.004,8.37,8169.72,816.98,7352.74,2035.5,17373.69,19409.19,263.972
28.357,76.908,8.81,8169.72,816.98,7352.74,2035.5,17373.69,19409.19,263.972
28.353,76.955,8.74,8169.72,816.98,7352.74,2035.5,17373.69,19409.19,263.972
28.475,77.021,8.05,8169.72,816.98,7352.74,2035.5,17373.69,19409.19,263.972
28.313,76.771,8.8,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.45,77.004,8.92,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.216,76.883,8.5,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.271,76.756,8.71,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.297,76.69,8.11,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.409,76.919,8.87,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.358,76.681,8.91,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.228,76.881,8.34,5361.45,536.15,4825.3,7608.6,720.831,8329.43,172.62
28.351,77.0615,8.4,4949.83,494.99,4454.84,7039.09,624.413,7663.51,172.027
28.3159,77.1147,8.45,4949.83,494.99,4454.84,7039.09,624.413,7663.51,172.027
28.244,77.069,8.15,4949.83,494.99,4454.84,7039.09,624.413,7663.51,172.027
29.2783,75.4919,8.48,4441.18,444.12,3997.06,3655,15.05,3670.05,91.819
29.2167,75.525,8.61,4441.18,444.12,3997.06,3655,15.05,3670.05,91.819
29.1708,75.4228,8.41,4441.18,444.12,3997.06,3655,15.05,3670.05,91.819
29.2208,75.5472,8.08,4441.18,444.12,3997.06,3655,15.05,3670.05,91.819
29.325,75.6228,8.45,6139.24,306.96,5832.28,5545.2,12.897,5558.1,95.299
29.3728,75.7569,8.85,6139.24,306.96,5832.28,5545.2,12.897,5558.1,95.299
29.3606,75.6603,8.17,6139.24,306.96,5832.28,5545.2,12.897,5558.1,95.299
29.4083,75.6833,8.12,6139.24,306.96,5832.28,5545.2,12.897,5558.1,95.299
29.4,76.05,8.01,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.3867,75.9167,8.79,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.2833,75.7894,7.81,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.3497,76.0232,8.54,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.2651,75.7648,8.04,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.3,75.8,7.62,9916.18,991.62,8924.56,10641.54,35.5,10677.04,119.637
29.2083,75.9208,8.37,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
29.2089,76.2333,8.67,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
29.2889,75.9069,8.38,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
29.075,76.0417,8.26,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
29.0583,76.1089,8.49,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
29.0528,75.9125,8.13,6760.08,676.01,6084.07,4873.2,35.87,4909.07,80.687
28.9583,75.8222,7.74,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.2167,75.7958,7.57,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.14,75.7222,7.95,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.1217,75.8989,7.81,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.0417,75.7222,8.65,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.075,75.7583,8.25,8653.21,865.33,7787.88,5655,280.35,5935.35,76.213
29.3389,75.5,8.46,8243.93,824.39,7419.54,5765,43,5808,78.28
29.0083,75.6,8.49,8243.93,824.39,7419.54,5765,43,5808,78.28
29.3789,76.1131,8.24,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.3417,76.0833,8,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.3875,76.175,8.52,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.2083,76.0958,8.9,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.1167,75.5667,8.47,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.2583,76.1875,8.85,5410.11,541.01,4869.1,7821,10.75,7831.75,160.846
29.4986,75.8333,8.43,3476.98,347.7,3129.28,515,120,635,20.292
29.5083,75.8583,8.34,3476.98,347.7,3129.28,515,120,635,20.292
28.696,76.713,8.78,8571.82,428.59,8143.23,3919.86,47.29,3967.15,48.717
28.646,76.788,8.27,8571.82,428.59,8143.23,3919.86,47.29,3967.15,48.717
28.604,76.038,8.76,8571.82,428.59,8143.23,3919.86,47.29,3967.15,48.717
28.774,76.91,8.13,8571.82,428.59,8143.23,3919.86,47.29,3967.15,48.717
28.70083,76.9119,8.38,8571.82,428.59,8143.23,3919.86,47.29,3967.15,48.717
28.657,76.428,8.24,7044.25,352.22,6692.03,2170.05,59.22,2229.27,33.312
28.691,76.634,8.59,7044.25,352.22,6692.03,2170.05,59.22,2229.27,33.312
28.6873,76.485,7.76,7044.25,352.22,6692.03,2170.05,59.22,2229.27,33.312
28.683,76.5697,8.92,7044.25,352.22,6692.03,2170.05,59.22,2229.27,33.312
28.598,76.66,8.28,5597.03,559.7,5037.33,2512.08,103.83,2615.91,51.93
28.598,76.5112,8.76,5824.2,582.42,5241.78,1717.6,57.54,1775.14,33.865
28.345,76.473,8.53,5824.2,582.42,5241.78,1717.6,57.54,1775.14,33.865
28.45,76.4693,8.79,4497.24,449.72,4047.52,1765.11,76.35,1841.46,45.496
28.482,76.571,8.58,4497.24,449.72,4047.52,1765.11,76.35,1841.46,45.496
29.4634,76.4545,8.86,6488.04,648.8,5839.24,6644,563.78,7207.78,123.437
29.264,76.451,8.04,20555.72,2055.57,18500.15,21541.66,1185.58,22727.24,122.849
29.5276,76.4722,8.81,20555.72,2055.57,18500.15,21541.66,1185.58,22727.24,122.849
29.403,76.245,8.4,20555.72,2055.57,18500.15,21541.66,1185.58,22727.24,122.849
29.1404,76.339,8.62,6673.41,667.34,6006.07,2856.5,131.99,2988.49,49.758
29.1318,76.4049,7.87,6673.41,667.34,6006.07,2856.5,131.99,2988.49,49.758
29.15269,76.4129,8.13,13359.48,1335.95,12023.53,16613.99,793.25,17407.24,144.776
29.403,76.6514,8.59,13359.48,1335.95,12023.53,16613.99,793.25,17407.24,144.776
29.43106,76.2184,8.66,16301.22,1630.12,14671.1,16386.93,395.66,16782.59,114.392
29.354,76.434,8.01,16301.22,1630.12,14671.1,16386.93,395.66,16782.59,114.392
29.47743,76.4874,8.87,16301.22,1630.12,14671.1,16386.93,395.66,16782.59,114.392
29.851,76.372,8.89,9981.04,998.11,8982.93,20912.74,806.656,21719.4,241.785
29.987,76.232,8.52,9981.04,998.11,8982.93,20912.74,806.656,21719.4,241.785
30.1,76.3,8.71,9981.04,998.11,8982.93,20912.74,806.656,21719.4,241.785
29.914,76.261,8.86,9981.04,998.11,8982.93,20912.74,806.656,21719.4,241.785
30.09,76.33,8.79,9981.04,998.11,8982.93,20912.74,806.656,21719.4,241.785
29.658,76.429,8.84,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.702,76.364,8.49,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.8699904,76.47136653,8.81,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.829,76.329,8.81,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.775,76.506,8.87,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.779,76.404,8.44,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.883,76.354,8.34,15770.84,1577.09,14193.75,27493.9,1617.753,29111.65,205.102
29.651,76.369,8.41,8657.17,865.72,7791.45,16301.96,216.38,16518.34,212.006
29.6792,76.2528,8.09,8657.17,865.72,7791.45,16301.96,216.38,16518.34,212.006
29.608,76.258,8.2,8657.17,865.72,7791.45,16301.96,216.38,16518.34,212.006
29.635,76.215,8.71,8657.17,865.72,7791.45,16301.96,216.38,16518.34,212.006
29.717,76.599,8.81,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.67,76.518,8.91,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.905,76.607,8.74,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.889,76.573,8.81,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.732,76.558,8.83,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.847,76.661,8.67,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.655,76.544,8.74,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.701,76.526,8.73,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.778,76.575,8.71,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.805,76.394,8.8,7954.14,795.41,7158.73,11464.54,713.58,12178.12,170.116
29.546,76.393,8.51,6123.28,306.16,5817.12,10541.44,178.878,10720.31,184.289
29.634,76.63,8.52,9297.12,464.86,8832.26,16144.5,741.792,16886.3,191.189
29.628,76.674,7.91,9297.12,464.86,8832.26,16144.5,741.792,16886.3,191.189
